Scala-Nr.;R;G;B;HBW;RAL
03.03.03;231;230;224;82,3;
03.03.06;225;222;211;75,6;
03.03.09;212;211;202;67,3;RAL 9002
03.03.12;196;193;184;55,9;
03.03.15;182;179;170;47,1;RAL 7044
03.03.16;162;160;152;37,5;
03.03.18;145;142;134;29,0;RAL 7030
03.03.21;127;125;117;22,4;
03.03.24;109;106;99;16,5;RAL 7039
03.03.25;100;96;88;13,9;
03.03.27;90;84;74;10,7;RAL 7013
03.03.30;75;71;61;7,7;RAL 6014
03.06.03;243;237;217;87,6;
03.06.06;240;232;208;83,0;
03.06.09;228;220;195;74,1;
03.06.12;210;202;178;61,1;
03.06.15;177;169;149;43,2;
03.06.16;162;153;131;34,7;
03.06.18;156;145;121;30,7;
03.06.21;132;121;99;21,4;
03.06.24;107;96;76;13,7;
03.06.27;89;82;68;10,3;
03.06.30;62;60;53;6,2;
03.09.01;244;237;217;88,0;
03.09.03;245;234;204;84,5;
03.09.06;238;225;189;76,6;
03.09.09;227;210;158;67,6;
03.09.12;218;199;146;59,7;
03.09.15;189;170;121;43,4;
03.09.16;169;151;107;34,5;
03.09.18;161;143;98;30,0;
03.09.21;142;124;86;22,5;
03.09.24;117;100;70;15,0;RAL 7008
03.09.27;85;74;44;9,2;
03.12.01;246;237;199;87,3;
03.12.03;246;234;186;83,3;
03.12.06;242;222;161;75,2;
03.12.09;236;212;139;69,5;
03.12.12;224;200;123;58,7;
03.12.15;196;168;95;42,8;
03.12.16;186;159;92;38,5;
03.12.18;175;149;83;33,6;
03.12.21;143;117;60;20,8;
03.12.24;115;97;53;13,9;
03.15.01;246;237;192;87,2;
03.15.02;246;235;181;85,0;
03.15.03;244;227;160;79,7;
03.15.06;250;220;125;75,1;
03.15.09;247;209;102;68,6;
03.15.12;247;205;79;66,7;
03.15.15;211;177;56;48,0;RAL 1012
03.15.18;205;165;10;42,0;
03.15.21;175;141;29;30,9;
03.15.24;161;129;33;25,9;RAL 1027
03.18.15;234;191;22;56,8;
03.18.18;237;185;0;54,6;RAL 1021
03.21.12;250;204;44;65,3;
03.21.15;247;196;0;62,3;
03.21.18;237;183;0;53,9;RAL 1023
03.ME.01;148;147;141;~ 35;DB 704
06.06.03;235;229;214;80,2;
06.06.06;223;216;198;71,5;RAL 1013
06.06.09;215;207;187;64,9;
06.06.12;201;192;169;55,3;
06.06.15;189;179;154;47,8;
06.06.18;156;145;122;30,6;
06.06.21;139;127;108;23,7;
06.06.24;98;87;73;11,7;
06.06.27;67;61;53;6,8;
06.09.03;241;230;210;81,2;
06.09.06;236;219;186;73,4;
06.09.09;221;200;160;61,6;
06.09.12;215;195;153;59,5;RAL 1014
06.09.15;197;171;122;44,7;
06.09.18;162;140;98;28,0;
06.09.21;135;113;75;18,9;
06.09.24;111;93;64;13,0;
06.09.27;97;84;58;10,3;
06.12.01;242;237;219;87,0;
06.12.02;242;233;205;84,1;
06.12.03;238;226;190;77,6;
06.12.06;244;223;171;76,3;
06.12.09;227;201;143;61,7;
06.12.12;222;189;119;54,9;
06.12.15;210;170;99;45,3;
06.12.18;177;146;85;32,7;
06.12.21;157;123;62;23,4;
06.12.24;125;100;57;15,6;
06.15.01;246;239;209;89,2;
06.15.02;245;233;189;85,2;
06.15.03;245;228;171;80,5;
06.15.06;243;222;152;74,8;
06.15.09;241;203;117;65,0;
06.15.12;231;187;92;55,5;
06.15.15;214;166;62;43,4;
06.15.18;192;146;37;33,8;
06.15.21;151;118;41;21,8;
06.18.09;241;205;97;64,9;
06.18.12;237;191;88;57,0;
06.18.15;217;164;28;43,7;RAL 1032
06.18.18;196;145;9;33,9;RAL 1005
06.21.12;247;204;89;65,9;
06.21.15;248;180;0;54,4;
06.21.18;219;160;8;42,1;RAL 1004
09.06.02;231;230;221;80,9;
09.06.03;234;229;216;80,5;
09.06.06;229;223;210;76,1;RAL 9001
09.06.09;217;209;195;66,2;
09.06.12;204;195;177;57,2;
09.06.15;188;176;157;46,7;
09.06.18;155;144;126;30,7;
09.06.21;120;110;98;16,9;RAL 7006
09.06.24;90;79;65;9,5;
09.06.27;69;65;56;6,3;RAL 6022
09.07.03;236;228;210;81,1;
09.07.06;230;220;201;75,4;
09.07.09;218;205;182;64,9;
09.09.01;246;240;223;91,1;
09.09.02;247;237;216;88,2;
09.09.03;246;231;208;83,1;
09.09.06;235;220;193;74,9;
09.09.09;225;210;182;67,7;RAL 1015
09.09.12;209;191;159;55,6;
09.09.15;202;177;134;47,2;RAL 1001
09.09.18;163;139;102;29,5;
09.09.21;136;110;71;18,4;RAL 8000
09.09.24;94;78;56;10,0;
09.11.06;237;216;179;73,3;
09.11.09;229;206;166;66,8;
09.11.12;220;194;148;58,6;
09.11.15;203;169;119;45,6;
09.12.01;241;234;216;84,8;
09.12.02;247;231;200;84,1;
09.12.03;246;226;189;80,4;
09.12.06;243;221;178;75,7;
09.12.09;229;202;154;63,1;
09.12.12;222;191;134;56,9;
09.12.15;203;170;110;44,9;RAL 1002
09.12.18;180;145;80;32,8;RAL 1024
09.12.21;146;111;57;19,4;
09.12.24;122;94;58;14,3;
09.15.02;247;231;198;83,9;
09.15.03;248;224;177;79,9;
09.15.06;250;219;159;77,6;
09.15.07;244;211;150;71,1;
09.15.09;240;204;140;65,2;
09.15.12;229;187;112;54,7;
09.15.15;211;167;91;43,8;
09.15.18;181;135;59;29,3;
09.18.03;246;229;185;82,0;
09.18.06;246;221;156;76,7;
09.18.09;246;212;140;71,9;
09.18.12;240;191;99;58,2;
09.18.15;222;174;94;48,7;
09.18.18;212;157;77;40,3;
09.21.12;253;197;95;63,3;
09.21.15;240;169;0;48,7;RAL 1003
09.21.18;218;146;13;37,9;RAL 1006
09.24.15;250;168;0;50,3;
12.03.03;229;222;214;76,9;
12.03.06;220;212;202;69,4;
12.03.09;204;199;189;60,1;
12.03.12;186;180;171;48,8;
